Correct spelling					Common misspelling

accommodate, accommodation			accomodate, accomodation
achieve								acheive
across								accross
aggressive, aggression				agressive, agression
apparently							apparantly
appearance							appearence
argument							arguement
assassination						assasination
basically							basicly
beginning							begining
believe								beleive, belive
bizarre								bizzare
business							buisness
calendar							calender
Caribbean							Carribean
cemetery							cemetary
chauffeur							chauffer
colleague							collegue
coming								comming
committee							commitee
completely							completly
conscious							concious
curiosity							curiousity
definitely							definately
dilemma								dilemna
disappear							dissapear
disappoint							dissapoint
ecstasy								ecstacy
embarrass							embarass
environment							enviroment
existence							existance
Fahrenheit							Farenheit
familiar							familar
finally								finaly
fluorescent							florescent
foreign								foriegn
foreseeable							forseeable
forty								fourty
forward								foward
friend								freind
further								futher
gist								jist
glamorous							glamourous
government							goverment
guard								gaurd
happened							happend
harass, harassment					harrass, harrassment
honorary							honourary
humorous							humourous
idiosyncrasy						idiosyncracy
immediately							immediatly
incidentally						incidently
independent							independant
interrupt							interupt
irresistible						irresistable
knowledge							knowlege
liaise, liaison						liase, liason
lollipop							lollypop
millennium, millennia				millenium, millenia
Neanderthal							Neandertal
necessary							neccessary
noticeable							noticable
occasion							ocassion, occassion
occurred, occurring					occured, occuring
occurrence							occurance, occurence
pavilion							pavillion
persistent							persistant
pharaoh								pharoah
piece								peice
politician							politican
Portuguese							Portugese
possession							posession
preferred, preferring				prefered, prefering
propaganda							propoganda
publicly							publically
really								realy
receive								recieve
referred, referring					refered, refering
religious							religous
remember							rember, remeber
resistance							resistence
sense								sence
separate							seperate
siege								seige
successful							succesful
supersede							supercede
surprise							suprise
tattoo								tatoo
tendency							tendancy
therefore							therefor
threshold							threshhold
tomorrow							tommorow, tommorrow
tongue								tounge
truly								truely
unforeseen							unforseen
unfortunately						unfortunatly
until								untill
weird								wierd
wherever							whereever
which								wich
